INSERT INTO `alerts` (`AlertID`, `CareTeamID`, `Content`, `Timestamp`) VALUES
(0,1000,'Care Team #1000 has moved into the next phase!',1403353793),
(1,1001,'Care Team #1001 has moved into the next phase!',1403066398),
(2,1002,'Care Team #1002 has moved into the next phase!',1403031496),
(3,1003,'Care Team #1003 has moved into the next phase!',1403188196),
(4,1004,'Care Team #1004 has moved into the next phase!',1403524650),
(5,1005,'Care Team #1005 has moved into the next phase!',1402953957),
(6,1006,'Care Team #1006 has moved into the next phase!',1402939746),
(7,1007,'Care Team #1007 has moved into the next phase!',1403041426),
(8,1008,'Care Team #1008 has moved into the next phase!',1403101263),
(9,1009,'Care Team #1009 has moved into the next phase!',1403527806),
(10,1010,'Care Team #1010 has moved into the next phase!',1403492645),
(11,1011,'Care Team #1011 has moved into the next phase!',1403074980),
(12,1012,'Care Team #1012 has moved into the next phase!',1403221640),
(13,1013,'Care Team #1013 has moved into the next phase!',1402939303),
(14,1014,'Care Team #1014 has moved into the next phase!',1403423007),
(15,1015,'Care Team #1015 has moved into the next phase!',1403035556),
(16,1016,'Care Team #1016 has moved into the next phase!',1403202611),
(17,1017,'Care Team #1017 has moved into the next phase!',1403031569),
(18,1018,'Care Team #1018 has moved into the next phase!',1402961451),
(19,1019,'Care Team #1019 has moved into the next phase!',1403397407),
(20,1020,'Care Team #1020 has moved into the next phase!',1403263501),
(21,1021,'Care Team #1021 has moved into the next phase!',1403360770),
(22,1022,'Care Team #1022 has moved into the next phase!',1403099713),
(23,1023,'Care Team #1023 has moved into the next phase!',1403112301),
(24,1024,'Care Team #1024 has moved into the next phase!',1403489969),
(25,1025,'Care Team #1025 has moved into the next phase!',1403472878),
(26,1026,'Care Team #1026 has moved into the next phase!',1403069019),
(27,1027,'Care Team #1027 has moved into the next phase!',1403318595),
(28,1028,'Care Team #1028 has moved into the next phase!',1403063629),
(29,1029,'Care Team #1029 has moved into the next phase!',1403173873),
(30,1030,'Care Team #1030 has moved into the next phase!',1403234523),
(31,1031,'Care Team #1031 has moved into the next phase!',1403269555),
(32,1032,'Care Team #1032 has moved into the next phase!',1403480704),
(33,1033,'Care Team #1033 has moved into the next phase!',1402928321),
(34,1034,'Care Team #1034 has moved into the next phase!',1403369887),
(35,1035,'Care Team #1035 has moved into the next phase!',1403468540),
(36,1036,'Care Team #1036 has moved into the next phase!',1403455916),
(37,1037,'Care Team #1037 has moved into the next phase!',1403196206),
(38,1038,'Care Team #1038 has moved into the next phase!',1403512819),
(39,1039,'Care Team #1039 has moved into the next phase!',1403480131),
(40,1040,'Care Team #1040 has moved into the next phase!',1403145265),
(41,1041,'Care Team #1041 has moved into the next phase!',1403029188),
(42,1042,'Care Team #1042 has moved into the next phase!',1403413907),
(43,1043,'Care Team #1043 has moved into the next phase!',1403357226),
(44,1044,'Care Team #1044 has moved into the next phase!',1402964460),
