INSERT INTO `careTeamFacilities` (`PrimaryID`, `CareTeamID`, `FacilityID`) VALUES
(1,1000,129),
(2,1000,128),
(3,1000,108),
(4,1000,129),
(5,1001,106),
(6,1001,127),
(7,1001,118),
(8,1001,109),
(9,1002,120),
(10,1003,114),
(11,1003,109),
(12,1004,129),
(13,1004,108),
(14,1004,106),
(15,1004,118),
(16,1004,129),
(17,1005,119),
(18,1005,117),
(19,1005,102),
(20,1006,112),
(21,1007,121),
(22,1008,104),
(23,1008,106),
(24,1008,113),
(25,1008,101),
(26,1008,110),
(27,1009,127),
(28,1009,113),
(29,1009,114),
(30,1010,123),
(31,1010,129),
(32,1010,100),
(33,1011,103),
(34,1011,109),
(35,1011,111),
(36,1012,114),
(37,1012,130),
(38,1012,120),
(39,1012,113),
(40,1013,126),
(41,1013,109),
(42,1014,116),
(43,1015,109),
(44,1015,110),
(45,1015,111),
(46,1016,107),
(47,1017,127),
(48,1017,125),
(49,1017,103),
(50,1017,119),
(51,1017,105),
(52,1018,106),
(53,1018,120),
(54,1019,104),
(55,1019,107),
(56,1019,110),
(57,1020,122),
(58,1020,116),
(59,1020,126),
(60,1020,111),
(61,1020,106),
(62,1021,124),
(63,1021,114),
(64,1022,118),
(65,1022,104),
(66,1022,108),
(67,1023,121),
(68,1023,129),
(69,1023,109),
(70,1023,100),
(71,1023,112),
(72,1024,112),
(73,1024,103),
(74,1025,110),
(75,1025,120),
(76,1025,108),
(77,1025,116),
(78,1025,118),
(79,1026,107),
(80,1026,128),
(81,1026,122),
(82,1027,125),
(83,1028,117),
(84,1028,116),
(85,1028,131),
(86,1029,123),
(87,1029,116),
(88,1029,124),
(89,1029,101),
(90,1029,128),
(91,1030,119),
(92,1030,130),
(93,1030,120),
(94,1031,114),
(95,1031,101),
(96,1031,112),
(97,1032,108),
(98,1033,111),
(99,1033,112),
(100,1033,100),
(101,1033,123),
(102,1034,101),
(103,1034,119),
(104,1035,123),
(105,1035,116),
(106,1035,129),
(107,1036,127),
(108,1037,111),
(109,1037,116),
(110,1037,131),
(111,1037,118),
(112,1038,102),
(113,1038,124),
(114,1038,125),
(115,1038,110),
(116,1038,100),
(117,1039,104),
(118,1039,129),
(119,1039,128),
(120,1039,104),
(121,1039,108),
(122,1040,105),
(123,1040,127),
(124,1041,100),
(125,1041,106),
(126,1042,124),
(127,1043,130),
(128,1044,103),
(129,1044,108),
(130,1044,113),
(131,1044,131),
(132,1045,113),
(133,1045,102),
(134,1045,113),
(135,1045,107),
(136,1045,115),
(137,1046,106),
(138,1046,125),
(139,1046,106),
(140,1047,105),
(141,1048,101),
(142,1048,116),
(143,1049,109),
(144,1049,128),
(145,1049,130),
(146,1049,103),
(147,1050,116),
(148,1050,112),
(149,1051,104),
(150,1052,120),
(151,1052,131),
(152,1052,116),
(153,1052,125),
(154,1052,128),
(155,1053,116),
(156,1053,110),
(157,1053,113),
(158,1054,125),
(159,1054,130),
(160,1054,123),
(161,1054,114),
(162,1055,124),
(163,1056,123),
(164,1057,119),
(165,1058,110),
(166,1058,107),
(167,1058,110),
(168,1059,114),
(169,1059,117),
(170,1059,104),
(171,1059,120),
(172,1060,126),
(173,1060,130),
(174,1060,114),
(175,1060,131),
(176,1060,110),
(177,1061,122),
(178,1061,102),
(179,1062,111),
(180,1063,130),
(181,1063,111),
(182,1063,107),
(183,1063,102),
(184,1063,121),
(185,1064,123),
(186,1064,126),
(187,1064,111),
(188,1064,113),
(189,1065,128),
(190,1066,111),
(191,1066,131),
(192,1066,112),
(193,1066,119),
(194,1066,107),
(195,1067,111),
(196,1068,128),
(197,1069,124),
(198,1069,122),
(199,1069,125),
(200,1070,104),
(201,1070,101),
(202,1070,119),
(203,1070,130),
(204,1070,117),
(205,1071,125),
(206,1071,130),
(207,1071,129),
(208,1072,115),
(209,1072,131),
(210,1072,105),
(211,1072,107),
(212,1072,126),
(213,1073,109),
(214,1073,108),
(215,1074,128),
(216,1074,124),
(217,1075,118),
(218,1076,127),
(219,1076,118),
(220,1076,103),
(221,1076,119),
(222,1076,101),
(223,1077,115),
(224,1077,124),
(225,1077,109),
(226,1077,122),
(227,1078,111),
(228,1078,124),
(229,1078,111),
(230,1078,130),
(231,1079,115),
(232,1080,130),
(233,1080,110),
(234,1081,111),
(235,1081,110),
(236,1081,125),
(237,1082,113),
(238,1083,115),
(239,1083,129),
(240,1083,126),
