INSERT INTO `notifications` (`NotificationID`, `CareTeamID`, `Content`, `Timestamp`) VALUES
(0,1000,'New member has been added to Care Team #1000!',1403146908),
(1,1001,'New member has been added to Care Team #1001!',1403388437),
(2,1002,'New member has been added to Care Team #1002!',1403139525),
(3,1003,'New member has been added to Care Team #1003!',1403340190),
(4,1004,'New member has been added to Care Team #1004!',1403245727),
(5,1005,'New member has been added to Care Team #1005!',1403281903),
(6,1006,'New member has been added to Care Team #1006!',1403414978),
(7,1007,'New member has been added to Care Team #1007!',1403488529),
(8,1008,'New member has been added to Care Team #1008!',1403397887),
(9,1009,'New member has been added to Care Team #1009!',1403170773),
(10,1010,'New member has been added to Care Team #1010!',1402954659),
(11,1011,'New member has been added to Care Team #1011!',1403500120),
(12,1012,'New member has been added to Care Team #1012!',1402997682),
(13,1013,'New member has been added to Care Team #1013!',1403163039),
(14,1014,'New member has been added to Care Team #1014!',1403235095),
(15,1015,'New member has been added to Care Team #1015!',1403523136),
(16,1016,'New member has been added to Care Team #1016!',1403290098),
(17,1017,'New member has been added to Care Team #1017!',1403224999),
(18,1018,'New member has been added to Care Team #1018!',1403233157),
(19,1019,'New member has been added to Care Team #1019!',1403044434),
(20,1020,'New member has been added to Care Team #1020!',1402953773),
(21,1021,'New member has been added to Care Team #1021!',1403504366),
(22,1022,'New member has been added to Care Team #1022!',1403370699),
(23,1023,'New member has been added to Care Team #1023!',1403344343),
(24,1024,'New member has been added to Care Team #1024!',1403513354),
(25,1025,'New member has been added to Care Team #1025!',1402986645),
(26,1026,'New member has been added to Care Team #1026!',1402968151),
(27,1027,'New member has been added to Care Team #1027!',1403417783),
(28,1028,'New member has been added to Care Team #1028!',1403507374),
(29,1029,'New member has been added to Care Team #1029!',1403458961),
(30,1030,'New member has been added to Care Team #1030!',1402944046),
(31,1031,'New member has been added to Care Team #1031!',1403140152),
(32,1032,'New member has been added to Care Team #1032!',1402976807),
(33,1033,'New member has been added to Care Team #1033!',1403075165),
(34,1034,'New member has been added to Care Team #1034!',1403422121),
(35,1035,'New member has been added to Care Team #1035!',1402961470),
(36,1036,'New member has been added to Care Team #1036!',1403248717),
(37,1037,'New member has been added to Care Team #1037!',1403431165),
(38,1038,'New member has been added to Care Team #1038!',1403144674),
(39,1039,'New member has been added to Care Team #1039!',1403020421),
(40,1040,'New member has been added to Care Team #1040!',1403016564),
(41,1041,'New member has been added to Care Team #1041!',1402952795),
(42,1042,'New member has been added to Care Team #1042!',1403054438),
(43,1043,'New member has been added to Care Team #1043!',1403058295),
(44,1044,'New member has been added to Care Team #1044!',1403512745),
(45,1045,'New member has been added to Care Team #1045!',1403529283),
(46,1046,'New member has been added to Care Team #1046!',1403404476),
(47,1047,'New member has been added to Care Team #1047!',1403000211),
(48,1048,'New member has been added to Care Team #1048!',1403211655),
(49,1049,'New member has been added to Care Team #1049!',1403194841),
(50,1050,'New member has been added to Care Team #1050!',1403411194),
(51,1051,'New member has been added to Care Team #1051!',1403164239),
(52,1052,'New member has been added to Care Team #1052!',1403325775),
(53,1053,'New member has been added to Care Team #1053!',1403000765),
(54,1054,'New member has been added to Care Team #1054!',1403091647),
(55,1055,'New member has been added to Care Team #1055!',1403361397),
(56,1056,'New member has been added to Care Team #1056!',1403323763),
(57,1057,'New member has been added to Care Team #1057!',1403299714),
(58,1058,'New member has been added to Care Team #1058!',1402994471),
(59,1059,'New member has been added to Care Team #1059!',1403475683),
(60,1060,'New member has been added to Care Team #1060!',1403499567),
(61,1061,'New member has been added to Care Team #1061!',1403069720),
(62,1062,'New member has been added to Care Team #1062!',1403280168),
(63,1063,'New member has been added to Care Team #1063!',1402972802),
(64,1064,'New member has been added to Care Team #1064!',1403497887),
(65,1065,'New member has been added to Care Team #1065!',1403505639),
(66,1066,'New member has been added to Care Team #1066!',1403303257),
(67,1067,'New member has been added to Care Team #1067!',1403136276),
(68,1068,'New member has been added to Care Team #1068!',1402938897),
(69,1069,'New member has been added to Care Team #1069!',1403499382),
(70,1070,'New member has been added to Care Team #1070!',1403151762),
(71,1071,'New member has been added to Care Team #1071!',1403431737),
(72,1072,'New member has been added to Care Team #1072!',1403329263),
(73,1073,'New member has been added to Care Team #1073!',1403356635),
(74,1074,'New member has been added to Care Team #1074!',1403458721),
(75,1075,'New member has been added to Care Team #1075!',1403055471),
(76,1076,'New member has been added to Care Team #1076!',1403491667),
(77,1077,'New member has been added to Care Team #1077!',1403161563),
(78,1078,'New member has been added to Care Team #1078!',1403126143),
(79,1079,'New member has been added to Care Team #1079!',1403301836),
(80,1080,'New member has been added to Care Team #1080!',1403424926),
(81,1081,'New member has been added to Care Team #1081!',1403065678),
(82,1082,'New member has been added to Care Team #1082!',1403372416),
(83,1083,'New member has been added to Care Team #1083!',1403056856),
(84,1084,'New member has been added to Care Team #1084!',1403383564),
(85,1085,'New member has been added to Care Team #1085!',1403403110),
(86,1086,'New member has been added to Care Team #1086!',1403228562),
(87,1087,'New member has been added to Care Team #1087!',1403010547),
(88,1088,'New member has been added to Care Team #1088!',1403412173),
(89,1089,'New member has been added to Care Team #1089!',1403441482),
(90,1090,'New member has been added to Care Team #1090!',1403361120),
(91,1091,'New member has been added to Care Team #1091!',1403033544),
(92,1092,'New member has been added to Care Team #1092!',1403429061),
(93,1093,'New member has been added to Care Team #1093!',1403323339),
(94,1094,'New member has been added to Care Team #1094!',1403347333),
(95,1095,'New member has been added to Care Team #1095!',1403471752),
(96,1096,'New member has been added to Care Team #1096!',1403046501),
(97,1097,'New member has been added to Care Team #1097!',1403169185),
(98,1098,'New member has been added to Care Team #1098!',1403232530),
(99,1099,'New member has been added to Care Team #1099!',1403271788),
(100,1100,'New member has been added to Care Team #1100!',1403036405),
(101,1101,'New member has been added to Care Team #1101!',1403291796),
(102,1102,'New member has been added to Care Team #1102!',1402962134),
(103,1103,'New member has been added to Care Team #1103!',1403272046),
(104,1104,'New member has been added to Care Team #1104!',1403395266),
(105,1105,'New member has been added to Care Team #1105!',1403122046),
(106,1106,'New member has been added to Care Team #1106!',1403261065),
(107,1107,'New member has been added to Care Team #1107!',1403338197),
(108,1108,'New member has been added to Care Team #1108!',1402941074),
(109,1109,'New member has been added to Care Team #1109!',1403400766),
(110,1110,'New member has been added to Care Team #1110!',1403367119),
(111,1111,'New member has been added to Care Team #1111!',1403492590),
(112,1112,'New member has been added to Care Team #1112!',1403258499),
(113,1113,'New member has been added to Care Team #1113!',1403188491),
(114,1114,'New member has been added to Care Team #1114!',1403424686),
(115,1115,'New member has been added to Care Team #1115!',1403159477),
(116,1116,'New member has been added to Care Team #1116!',1403176347),
(117,1117,'New member has been added to Care Team #1117!',1403505510),
(118,1118,'New member has been added to Care Team #1118!',1403316786),
(119,1119,'New member has been added to Care Team #1119!',1403232235),
(120,1120,'New member has been added to Care Team #1120!',1403527714),
(121,1121,'New member has been added to Care Team #1121!',1403106099),
(122,1122,'New member has been added to Care Team #1122!',1403322250),
(123,1123,'New member has been added to Care Team #1123!',1403270422),
(124,1124,'New member has been added to Care Team #1124!',1402933950),
(125,1125,'New member has been added to Care Team #1125!',1403037568),
(126,1126,'New member has been added to Care Team #1126!',1403214793),
(127,1127,'New member has been added to Care Team #1127!',1403370884),
(128,1128,'New member has been added to Care Team #1128!',1403153109),
(129,1129,'New member has been added to Care Team #1129!',1403068834),
(130,1130,'New member has been added to Care Team #1130!',1403376070),
(131,1131,'New member has been added to Care Team #1131!',1403020846),
(132,1132,'New member has been added to Care Team #1132!',1403524262),
(133,1133,'New member has been added to Care Team #1133!',1403010547),
(134,1134,'New member has been added to Care Team #1134!',1403330168),
(135,1135,'New member has been added to Care Team #1135!',1403453424),
(136,1136,'New member has been added to Care Team #1136!',1403048753),
(137,1137,'New member has been added to Care Team #1137!',1403502483),
(138,1138,'New member has been added to Care Team #1138!',1403085889),
(139,1139,'New member has been added to Care Team #1139!',1403393992),
(140,1140,'New member has been added to Care Team #1140!',1402944914),
(141,1141,'New member has been added to Care Team #1141!',1402960657),
(142,1142,'New member has been added to Care Team #1142!',1403298883),
(143,1143,'New member has been added to Care Team #1143!',1403185188),
(144,1144,'New member has been added to Care Team #1144!',1403420681),
(145,1145,'New member has been added to Care Team #1145!',1403403941),
(146,1146,'New member has been added to Care Team #1146!',1402987549),
(147,1147,'New member has been added to Care Team #1147!',1402945412),
(148,1148,'New member has been added to Care Team #1148!',1403225775),
(149,1149,'New member has been added to Care Team #1149!',1403103755),
(150,1150,'New member has been added to Care Team #1150!',1403515329),
(151,1151,'New member has been added to Care Team #1151!',1403095763);
